acc_x[mg],acc_y[mg],acc_z[mg]
-549.135535580448,302.70275782249803,767.992127790836
-548.9173163108708,314.34383810985406,771.8803057109208
-544.9822314449889,325.9196565595795,771.9007000351803
-537.5209679146294,329.6609953449955,764.149837100335
-544.9006541479507,337.5260664956943,771.8619508190872
-540.8289273095298,329.82720908771097,779.7984021046943
-536.9489071191488,333.66644062957283,779.8432696180654
-525.0059908327513,329.8108936283033,791.8096393773613
-544.9271667694882,314.347916974706,775.8643369550255
-533.6674603457858,310.32105764965615,768.1981104658574
-532.7130059704384,349.17938337760603,787.7042619039122
-533.1229318880556,349.07741175630827,775.9245002115912
-537.8207644812449,325.72387104668775,756.3092391387478
-530.195326640596,314.0572978540073,756.4632162869075
-544.2735286769692,329.95977219539805,791.5200399728756
-529.2959369407495,325.8696904651436,779.9850101716694
-520.9617963320808,337.5525791172317,795.7681777161417
-543.7555128407764,326.22761085589883,807.2389653959304
-529.4325789132885,325.8350201139023,776.0580830354913
-525.2242101023286,318.1708330571602,787.9204417410635
-533.4492410762085,341.27148414596223,768.0961388445596
-541.3204305241852,337.4281737392484,764.0672400870839
-533.613415386498,337.36801048268273,764.1824680191503
-536.7847328088593,337.56889457663937,783.7579601596876
-532.9862899155166,349.11106239133653,779.8514273477692
-529.0777176711722,337.5097510362866,783.8731880917542
-529.3234692784998,341.3102333620554,776.0070972248425
-533.7490376428241,337.33435984765447,760.2565605991853
-529.7048431421537,325.7666991276328,768.2052484793483
-525.4964743311937,318.10149235467776,780.0676071849205
-533.4227284546712,345.14028745800044,768.0839022500039
-529.268404602999,329.7374740609689,779.9717538609005
-517.0817761416998,341.3918106590936,795.8140649457257
-528.7503887668063,326.0063324376826,795.6906792839554
-541.4285204427608,302.6436142821453,768.1073557229024
-537.7391871842067,318.0199150576395,760.2616591802501
-536.757200471109,322.12835167972753,787.7348533903015
-545.1453860390654,322.017202612513,767.9860094935581
-545.5002472811817,310.34247169012866,760.1709044372951
-544.5457929058343,310.5821050001785,787.6573549581153
-533.6939729673232,306.4522543376179,768.2103470604131
-532.9852701993036,310.49236997343644,787.8307067143215
-537.0029520784367,325.9288340054963,779.8687625233898
-525.1426328052903,329.77622327706206,787.8827122411834
-544.9822314449889,325.9196565595795,771.9007000351803
-533.1769768473434,341.33980513223173,775.9499931169156
-533.5583507109973,325.79627089780917,768.1471246552085
-537.221171348014,333.5981196433033,771.9904350619223
-536.6491105525333,356.91291113683064,783.694737754483
-517.3265080328146,325.8829467759123,791.9381236201966
-537.3302809828025,318.12290639515027,772.0414208725713
-530.2228589783464,329.49886046713203,752.4863230562935
-536.7296681333585,325.99715499176585,787.7226167957458
-537.1661066725131,322.0253603422168,775.9550916979805
-540.3924887703753,333.79900373725997,791.5659272024596
-540.1477568792606,329.99852141149125,799.4309983531584
-529.3775142377876,333.57262673797885,776.0325901301669
-533.5858830487476,341.23681379472094,764.1702314245946
-529.7874401554047,352.7789816094181,760.2636986126762
-533.8316346560753,345.0372961204897,756.3041405576829
-537.8758291567457,337.29561063156126,752.3456022189025
-533.476773413959,337.40268083392397,768.1093951553283
-529.3234692784998,341.3102333620554,776.0070972248425
-533.2310218066312,333.60219850815525,775.9754860222401
-533.8581472776127,341.16849280845145,756.3173968684516
-532.9587575777662,352.9798657033748,779.8381710370005
-525.3333197371172,341.3143122269073,779.9921481851602
-541.1562562138957,341.3306276863149,767.9809109124932
-536.9489071191488,372.2851330474729,771.8639902515131
-537.3853456583033,349.0039921889738,764.0866146951304
-529.0512050496347,341.37855434832494,783.8609514971985
-541.7018043878389,341.1939857137759,752.2752418002071
-525.525026385157,352.85240117675255,772.100564412924
-533.3136188198824,360.61448098994055,768.033936155568
