acc_x[mg],acc_y[mg],acc_z[mg]
-947.5529360179063,254.0643338958768,173.49451647606475
-934.7391820856257,277.4607026864424,205.00476717329568
-954.9061096296903,265.79820835861386,181.19439360026107
-947.4988910586186,261.8009208037404,173.47004328695326
-939.4920793543158,265.6789015616954,181.42586918060707
-947.3082041267917,269.5731977790581,177.37045780159383
-954.7154226978633,273.5694656177186,185.0958278311146
-946.7626559528485,269.7098397515972,193.07714663009287
-935.2847302595688,277.32406071390335,189.29909806100963
-935.556994488434,277.25573972763385,181.44524378865364
-943.4271642201977,273.41242932092,177.41634503117785
-946.9258105469249,265.80636608831765,189.16347580468357
-943.1273676535822,258.03918769406476,189.2460728179348
-950.9159600883075,246.49294101451568,189.16857438574849
-943.8636027593523,250.13128846242094,169.63896947479518
-935.8017263795487,261.74585612823955,177.56930246312453
-954.8510449541893,254.22646877374032,185.15905023631925
-939.4105020572775,257.97596528886015,185.37726950589655
-935.1480882870297,258.04836513998157,197.21515502235732
-943.5638061927366,254.06841276072873,177.47956743638247
-938.8374215455839,261.9814105734375,201.07070202362684
-963.2402502383588,254.11429999031273,165.41020633957572
-934.7667144233761,273.59189937440414,205.01802348406443
-946.9533428846754,261.9385824924924,189.17571239923933
-939.3829697195271,261.8447686008984,185.3650329113408
-954.7694676571512,265.83185899364213,185.1213207364391
-943.0998353158317,261.90799100610303,189.23383622337906
-946.6260139803094,250.43414417767536,200.99320359144053
-938.974063518123,261.9467402221962,197.14479460366184
-942.7184614521781,258.14217903157555,201.0258345102558
-943.5903188142742,250.19960944869044,177.4918040309382
-950.3704119143644,265.9389291960048,200.88511367286486
-943.5087415172359,261.8060193848052,177.454074531058
-950.4795215491531,250.46473566406473,200.93507976730078
-955.2048864800927,242.55173785135602,177.3439451800564
-943.2364772883708,261.87434037107477,185.30690908720106
-943.4822288956984,265.6748226968435,177.4418379365023
-939.4105020572775,257.97596528886015,185.37726950589655
-946.2986850759435,258.2400717880214,208.82156495847207
-939.4920793543158,265.6789015616954,181.42586918060707
-947.1715621542526,269.6068484140864,181.29738493777182
-954.6878903601129,258.1289227208068,189.07272106172854
-935.2837105433559,258.0147145049533,193.2882278861793
-927.2768988390532,261.8916755466954,201.2440537798331
-935.0389786522413,273.52357838813464,197.16416921170838
-935.6110394477219,269.5181331035573,181.4707366939781
-924.2962683485187,273.228880402584,173.7790172994856
-947.3622490860795,261.8355911549816,177.39595070691828
-934.8207593826639,285.16363895927765,201.05336684800622
-939.4105020572775,277.2853114978102,181.38813968072688
-939.7102986238931,273.3481871995024,173.5475417191396
-947.0624525194638,265.7727154532894,185.23654866850558
-942.9366807217552,265.81146466938253,193.14750704878836
-962.2042185659732,265.96034323647734,192.8589273605156
-935.6110394477219,269.5181331035573,181.4707366939781
-951.080134398597,281.20917948534924,177.27562419378688
-935.5294621506836,281.12454303967206,181.4330071940979
-943.0457903565439,269.64559763017957,189.2083433180546
-931.0763614486088,269.6588539409483,201.1614567665819
-950.6977408187303,258.13300158565875,193.0567523058333
-932.0583481617068,265.55143703507315,173.68826255653053
-931.2670483804358,261.88759668184343,197.26002253572833
-943.7544931245635,265.606501710574,169.5879836641463
-946.9808752224257,258.06977918045413,189.18794899379503
-946.4353270484825,258.2064211529932,204.89463782229407
-943.0182580187934,254.2050547332678,193.18523654866854
-950.2888346173262,258.23599292316953,204.83651399815435
-936.1290552839146,253.9399285178935,169.74196081230596
-935.5019298129331,265.6829804265473,185.40990042471182
-927.7133373782077,277.23024682230937,185.48739885689815
-924.1320940382293,257.8230078569134,181.68181795006453
-932.2215027557833,242.33861716284358,173.7637215562909
-927.6317600811694,250.2169446243111,193.42894872357024
-955.5057027629211,238.6146135530482,169.50334721846912
-951.9244594229427,238.51570108038933,161.70761677025286
-951.7062401533655,230.84743515879535,169.58594423172033
-962.2857958630115,254.35393330036254,192.89665686039578
-958.5954428882444,250.42088786690667,189.04009014291324
-946.790188290599,265.8410364395589,193.0893832246486
-954.4696710905357,250.45963708299985,196.95104852319602
-943.2364772883708,261.87434037107477,185.30690908720106
-945.9173112122897,254.47425981349394,220.61356324534884
-942.8816160462545,254.23972508450902,197.1121636848465
-950.8333630750564,238.79000474168043,193.11997471103794
-942.1718935620218,238.96947479516453,220.72165316392451
-935.1746009085673,254.1795618279433,197.22739161691302
-946.9533428846754,242.62821656732936,193.16586194062194
-942.8275710869666,261.9773317085855,197.08667077952208
-938.6192022760067,254.31212493563044,208.94902948509434
-935.5294621506836,242.504830905559,189.4122865606502
-942.2820229130234,242.80462747217453,216.7824894331908
-942.9631933432927,242.63331514839425,197.14989318472672
-946.6260139803094,250.43414417767536,200.99320359144053
-939.3829697195271,242.53542239194834,189.35518245272343
-942.9631933432927,242.63331514839425,197.14989318472672
-947.1715621542526,250.29750220513634,185.2875344791545
-938.373450668679,250.5116426098617,216.81512035200606
-934.9288493012394,250.37907950217456,205.0934824838248
-931.1579387456471,258.05346372104646,201.19918626646208
-931.2395160426854,246.44705378493168,201.23691576634226
-946.8442332498867,258.1034298154824,193.11487612997306
-938.7283119107955,258.14625789642747,205.0098657543606
-947.2266268297534,261.87026150622285,181.32287784309628
-939.2198151254506,265.74722254796495,189.2787037367501
-951.0250697230963,250.32707397531271,185.22941065501473
-935.9118557305503,265.58100880524955,173.6301387323908
-943.6729158275253,257.9025457215257,173.54040370564874
-946.9798555062127,238.76043297150406,193.1780985351777
-939.2738600847387,258.0096159238884,189.30419664207454
-935.2837105433559,258.0147145049533,193.2882278861793
-927.1137442449767,265.7951492099749,205.15874432145534
-939.4105020572775,277.2853114978102,181.38813968072688
-935.0665109899916,269.65477507609637,197.17742552247714
-943.6729158275253,277.21189193047576,169.5502541642661
-943.5087415172359,261.8060193848052,177.454074531058
-938.9189988426222,269.6843468462727,197.11930169833738
-924.18715871373,269.394747441787,177.7181810302193
-938.8924862210848,273.553150158311,197.10706510378165
-943.1273676535822,277.3495536192278,185.25694299276515
-931.5668449470513,277.2598185924857,185.43029474897136
-931.6759545818401,261.7846053443327,185.4802608434073
-931.4036903529749,261.8529263306022,193.33411511576332
-935.229665584068,265.75232112902984,193.26273498085484
-946.9808752224257,258.06977918045413,189.18794899379503
-946.6535463180599,265.8757067908001,197.0163103608266
-935.1205559492795,261.91716845201984,197.2018987115886
-931.9217061891677,265.5850876701014,177.61518969270855
-931.0212967731081,258.0871143560747,205.12611340264007
-939.573656651354,254.07249162558062,181.46359868048725
-927.7949146752461,265.6238368861946,185.5261480729913
-942.9642130595057,261.94266135734426,193.1597436433441
-923.587565580499,257.95964982945253,197.38850677856357
-934.8748043419517,258.1166861262511,205.06798957850032
-935.2021332463178,250.31075851590504,197.24064792768175
-935.3112428811062,254.14591119291504,193.30148419694802
-935.1205559492795,261.91716845201984,197.2018987115886
-931.9217061891677,265.5850876701014,177.61518969270855
-950.751785778018,250.3964146777952,193.08224521115775
-946.4893720077704,250.46881452891662,204.92013072761856
-951.2973339519614,250.2587529890432,177.3765760988717
-946.7626559528485,250.4004935426471,197.0672961714755
-934.7381623694127,258.15135647749236,208.9949167146783
-943.1814126128698,250.30260078620122,189.27156572325924
-943.6178511520244,246.3308061366522,177.50506034170692
-950.8343827912694,258.0993509506305,189.1308448858683
-939.4920793543158,265.6789015616954,181.42586918060707
-927.7133373782077,257.9209006133593,189.47754839828076
-935.4478848536453,254.11124084167378,189.37455706077
-935.1470685708168,238.73901893103152,201.20428484752694
-951.1066470201345,238.7216837554109,185.26714015489492
-939.4645470165653,230.92901245583357,189.3929119526036
-939.2738600847387,238.70026971493837,193.29434618345715
-935.8567910550494,254.00926922037598,177.59479536844898
-939.1107054906621,261.9130895871679,193.2178674674838
-951.3523986274621,242.52216608117965,177.40206900419614
-938.9189988426222,250.37500063732267,201.10945123972002
-947.0349201817136,231.02282634742753,193.20359144050212
-931.8391091759165,238.57280518831612,185.55673955938065
-939.3554373817768,246.4042257039866,189.34192614195473
-950.8333630750564,238.79000474168043,193.11997471103794
-942.8000387492162,246.53576909546075,201.063564010136
-954.3880937934973,262.06604701911465,196.91331902331584
-938.7833765862962,269.71901719751395,201.04622883451538
-946.8442332498867,277.41277602443245,189.12472658859042
-942.8000387492162,265.8451153044108,197.07443418496635
-939.2187954092377,246.43787633901488,193.2688532781327
-962.5580600918765,234.976266105143,189.0329521294224
-935.8292587172991,257.87807253241425,177.58255877389325
-943.0182580187934,254.2050547332678,193.18523654866854
-943.8360704216018,254.00009177445918,169.62571316402648
-935.229665584068,265.75232112902984,193.26273498085484
-950.5070538869033,246.5959323520265,200.9483360780695
-942.8000387492162,265.8451153044108,197.07443418496635
-938.8649538833344,258.11260726139915,201.08395833439556
-934.9839139767404,261.95183880326107,201.1288258477666
-942.6633967766771,265.8797856556521,201.00034160493135
-942.1729132782349,277.58816721306465,212.7423737973722
-954.2789841587088,258.2319140583176,200.85248275404956
-950.8068504535189,281.2775004716188,185.12845874992993
-942.581819479639,258.1768493828168,204.95276164643383
-946.7086109935606,277.4474463756737,193.0516537247684
-938.9189988426222,250.37500063732267,201.10945123972002
-954.1413224699568,238.95621848439583,208.76853971539722
-939.4105020572775,257.97596528886015,185.37726950589655
-950.3163669550764,273.6765358200813,200.8596207675404
-942.9642130595057,261.94266135734426,193.1597436433441
-938.700779573045,262.01506120846574,204.99762915980483
-943.0182580187934,254.2050547332678,193.18523654866854
-923.8057848500764,265.6279157510465,189.5101793170961
-943.2640096261213,258.0055370590365,185.32016539796976
-942.9091483840048,250.37092177247072,197.12440027940227
-930.93971947607,250.38417808323945,209.07751372792953
-928.531149781016,257.71593765455077,165.91802501363873
-935.3112428811062,254.14591119291504,193.30148419694802
-954.4421387527852,254.3284403950381,196.9388119286403
-943.5362738549862,257.937216072767,177.46631112561377
-939.3829697195271,242.53542239194834,189.35518245272343
-938.7558442485457,254.27847430060217,205.02312206512931
-943.8636027593523,250.13128846242094,169.63896947479518
-947.5264233963688,257.9321174917021,173.482279881509
-955.095776845304,238.716585174346,181.28310891079013
-939.6277016106419,246.3348850015041,181.4890915858117
-947.2531394512907,258.00145819418464,181.335114437652
-955.1233091830544,254.1571280712578,177.30621568017622
-954.3880937934973,262.06604701911465,196.91331902331584
-944.1093543666798,253.93177078818965,161.77287860788343
-950.9700050475954,258.0646805993892,185.20391774969028
-944.1633993259678,246.19416416411318,161.79837151320788
-947.3622490860795,242.52624494603154,181.38610024830092
-946.5709493048087,238.86240459280182,204.9578602274987
-931.4577353122627,254.1163394227387,193.3585883048748
-928.531149781016,257.71593765455077,165.91802501363873
-943.4271642201977,234.79271718680693,185.39562439773013
-931.4302029745122,257.984123018564,193.34635171031903
-939.7368112454304,250.1700376785141,177.54992785507795
-947.4713587208681,246.36037790682857,177.44693651756717
-947.0073878439631,254.20097586841584,189.20120530456376
-958.7585974823209,246.51843391984016,185.12641931750395
-958.6229752259948,246.55208455486843,189.05334645368197
-950.8884277505571,269.671090535504,185.1661882498101
-946.9533428846754,261.9385824924924,189.17571239923933
-943.0733226942943,265.7767943181413,189.22057991261036
-946.7626559528485,250.4004935426471,197.0672961714755
-931.4577353122627,254.1163394227387,193.3585883048748
-947.4713587208681,246.36037790682857,177.44693651756717
-950.616163521692,250.43006531282347,197.00917234733575
-958.5679105504939,254.2896911789449,189.0278535483575
-962.121621552722,238.94704103847903,200.80047722718768
-962.5305277541261,238.84506941718124,189.02071553486667
-942.4451775070999,258.21050001784505,208.87866906639886
-950.2337699418252,246.664253338296,208.80117063421253
-939.1107054906621,261.9130895871679,193.2178674674838
-946.9808752224257,258.06977918045413,189.18794899379503
-935.4743974751829,250.24243752963554,189.38679365532576
-955.369060790382,238.64826418807647,173.4302743546471
-958.7861298200712,242.64963060780187,185.1386559120597
-958.3507109971297,265.93077146630094,192.91603146844236
-947.3357364645422,265.7043944670199,177.38371411236255
-950.2347896580382,265.973599547246,204.81102109282986
-951.4890406000012,261.7968419388884,169.4849923266355
-951.1606919794223,250.29342334028445,181.30248351883674
-939.90098555572,246.2665640152346,173.63625702966866
-946.7075912773475,238.82875395777359,201.03093309132072
-943.453676841735,230.9239138747687,185.40786099228586
-947.334716748329,246.39504825806983,181.3728439375322
-944.1909316637181,242.32536085207488,161.8106081077636
-928.39552752469,257.74958828957904,169.84495214981672
-943.6453834897749,242.46200282461396,177.51729693626265
-939.5196116920662,261.8100982496572,181.4381057751628
-940.0100951905085,250.10171669224457,169.69709329893493
-928.1222435796119,257.81790927584854,177.69778670595977
-947.7711552874837,242.42325360852078,169.6063385559799
-963.1576532251075,246.41136371747746,169.36262638107814
-943.8360704216018,254.00009177445918,169.62571316402648
-947.0349201817136,250.3321725563776,189.2134418991195
-946.8717655876371,254.2346265034441,193.12813244074175
-927.8499793507468,257.8862302621181,185.5506212621028
-959.1409910621876,250.28424589436764,173.3344210306272
-947.2266268297534,261.87026150622285,181.32287784309628
-946.5984816425589,254.30294748971366,200.9809669968848
-950.6436958594425,265.8706082097353,193.03227911672184
-954.6328256846122,246.5571831359333,193.03737769778672
-950.7793181157684,265.836957574707,189.10535198054384
-935.69261674476,257.9117231674426,181.50846619385825
-954.960154588978,258.06060173453733,181.21988650558552
-958.9503041303607,258.0565228696854,177.23585526148074
-955.2599511555936,254.12347743622954,173.37928854399823
-954.9876869267284,254.19179842249906,181.23212310014125
-938.8924862210848,273.553150158311,197.10706510378165
-934.9839139767404,261.95183880326107,201.1288258477666
-946.5719690210216,258.1717508017519,200.96771068611608
-935.0389786522413,254.21423217918453,201.15431875309105
-931.1038937863593,265.79005062891,201.17369336113762
-935.2847302595688,277.32406071390335,189.29909806100963
-946.2171077789053,269.8464817241362,208.78281574237892
-943.5913385304871,269.5089556576405,173.5016544895556
-935.7752137580112,265.6146594402778,177.5570658685688
-935.0389786522413,254.21423217918453,201.15431875309105
-951.1882243171727,246.42462002824615,181.31573982960543
-943.1273676535822,258.03918769406476,189.2460728179348
-946.6535463180599,246.56534086563713,201.00645990220926
-935.69261674476,257.9117231674426,181.50846619385825
-943.2640096261213,258.0055370590365,185.32016539796976
-946.9258105469249,246.4970198793676,193.15260562985324
-950.8068504535189,261.96815426266875,189.11758857509957
-955.3965931281325,254.0888070849883,169.4523614078202
-954.6878903601129,258.1289227208068,189.07272106172854
-943.3731192609098,261.8396700198335,181.38100166723603
-935.3928201781445,261.84884746575034,189.34906415544557
-935.5835071099714,254.0775902066455,185.447629924592
-935.1746009085673,254.1795618279433,197.22739161691302
-936.156587621665,269.38149113101827,165.76506758169202
-942.8816160462545,254.23972508450902,197.1121636848465
-939.3554373817768,265.7135719129367,185.35177660057207
-931.9206864729547,246.2757414611514,181.6043195178782
-923.9414071064024,265.5942651160182,185.58325218091807
-942.9091483840048,250.37092177247072,197.12440027940227
-935.3387752188567,269.5864540898269,189.32357125012112
-939.1647504499499,254.1754829630914,193.24336037280827
-942.6368841551397,269.7485889676903,200.98810501037565
-931.2945807181862,277.32813957875527,193.28312930511441
-935.5845268261845,273.3869364155956,181.45850009942237
-939.7102986238931,254.03884099055236,177.53667154430923
-963.6491564397629,254.01232836901494,153.63044464725468
-950.7793181157684,265.836957574707,189.10535198054384
-947.608000693407,265.6360734807503,169.53087955621953
-958.2681139838784,258.2268154772527,196.8684515099448
-954.7969999949015,261.9630556816038,185.1335573309948
-954.223919483208,265.9685009661811,200.82698984872513
-947.0624525194638,265.7727154532894,185.23654866850558
-939.0281084774108,254.20913359811968,197.1702875089863
-939.4645470165653,250.23835866478365,185.40276241122098
-946.9533428846754,261.9385824924924,189.17571239923933
-950.5621185624042,277.47701814585,192.9935299006287
-954.1148098484192,262.13436800538415,204.76615357945886
-942.8826357624674,273.54907129345906,193.1220141434639
-953.5427490529387,266.1398132899614,220.4595860971892
-939.0291281936237,273.5194995232827,193.18013796760363
-939.0015958558735,258.0779369101579,197.15703119821754
-951.2708213304238,254.12755630108146,177.363319788103
-942.990725681043,258.073858045306,193.17299995411278
-947.0624525194638,246.46336924433933,189.2266982098882
-935.747681420261,269.48346275231603,177.54482927401307
-943.5362738549862,257.937216072767,177.46631112561377
-947.2531394512907,258.00145819418464,181.335114437652
-935.8567910550494,273.3186154293261,173.60464582706635
-935.8017263795487,261.74585612823955,177.56930246312453
-947.2806717890412,273.4420010910964,177.3582212070381
-935.5019298129331,265.6829804265473,185.40990042471182
-958.7861298200712,261.95897681675194,181.14952608689003
-935.6110394477219,269.5181331035573,181.4707366939781
-951.8428821259046,269.4314572254542,157.680757445203
-935.8017263795487,261.74585612823955,177.56930246312453
-935.9659006898381,257.843402181173,173.65563163771523
-939.4645470165653,269.54770487373366,181.41261286983834
-927.8764919722843,254.01742695007982,185.5638775728715
-928.1222435796119,257.81790927584854,177.69778670595977
-943.8636027593523,250.13128846242094,169.63896947479518
-938.8374215455839,261.9814105734375,201.07070202362684
-942.6093518173894,254.30804607077854,204.96499824098956
-943.454696557948,269.54362600888174,177.42858162573359
-947.0624525194638,265.7727154532894,185.23654866850558
-954.7694676571512,246.52251278469205,189.11045056160873
-958.977836468111,254.1877195576471,177.2480918560365
-946.4353270484825,258.2064211529932,204.89463782229407
-951.0250697230963,250.32707397531271,185.22941065501473
-924.0240041196536,273.2972013888535,181.63185185562858
-943.782025462314,261.7376983985357,169.601239974915
-950.5886311839415,254.2988686248617,196.99591603656705
-935.6110394477219,269.5181331035573,181.4707366939781
-939.438034395028,273.41650818577193,181.4003762752826
